,modified Zurich class,largest spot size,spot distribution,activity,evolution,previous 24 hour flare activity,historically-complex,became complex on this pass,area,area of largest spot
0,1,4,2,1,2,1,1,2,1,2
1,2,4,2,1,3,1,1,2,1,2
2,1,4,2,1,3,1,1,2,1,1
3,2,4,2,1,3,1,1,2,1,2
4,2,0,2,1,3,1,1,2,1,2
5,2,0,2,1,2,1,1,2,1,2
6,2,0,2,1,2,1,1,2,1,1
7,2,0,2,1,2,1,1,2,1,2
8,2,2,2,1,3,1,1,2,1,2
9,1,3,2,1,3,1,1,2,1,1
10,0,5,2,1,3,1,1,2,1,1
11,2,4,2,1,2,1,1,2,1,1
12,1,1,1,1,3,1,1,2,1,2
13,2,3,2,1,3,1,1,2,1,1
14,0,5,2,1,2,1,1,2,1,1
15,0,5,2,1,3,1,1,2,1,1
16,2,2,1,1,3,1,1,2,1,2
17,2,4,2,1,2,1,1,2,1,2
18,2,3,2,1,2,1,1,2,1,1
19,1,0,1,1,2,1,1,2,1,2
20,1,4,2,1,2,1,1,2,1,1
21,0,5,2,1,3,1,1,2,1,1
22,4,2,1,1,3,1,2,2,1,2
23,0,5,2,1,2,1,1,2,1,1
24,5,3,3,1,2,1,1,1,1,2
25,0,5,1,1,3,1,1,2,1,1
26,1,3,1,1,3,1,1,2,1,2
27,0,5,2,1,3,1,1,2,1,1
28,0,5,2,1,3,1,1,2,1,2
29,2,0,1,1,3,1,2,2,1,2
30,2,0,2,1,3,1,1,2,1,2
31,0,5,2,1,3,1,1,2,1,1
32,2,0,1,1,3,1,1,2,1,2
33,0,5,2,1,3,1,1,2,1,2
34,2,3,2,1,3,1,1,2,1,2
35,2,0,2,1,2,1,1,2,1,1
36,1,0,1,1,3,1,1,2,1,1
37,2,0,1,1,2,1,2,2,1,1
38,2,0,1,2,2,3,1,2,1,2
39,2,0,1,1,2,1,2,2,1,2
40,0,5,2,1,3,1,1,2,1,1
41,2,3,2,1,1,1,1,2,1,1
42,2,0,1,1,2,1,1,2,1,1
43,2,4,2,1,1,1,1,2,1,1
44,2,4,1,1,3,1,1,2,1,1
45,2,0,1,1,3,1,2,2,1,2
46,2,0,1,2,3,1,2,2,1,1
47,2,0,1,1,2,1,2,2,1,1
48,0,5,2,1,2,1,1,2,1,1
49,2,4,2,1,3,1,2,2,1,2
50,2,4,2,1,3,1,1,2,1,1
51,0,5,2,1,3,1,1,2,1,1
52,2,0,2,1,3,1,2,2,1,2
53,2,2,0,2,3,1,2,2,1,2
54,2,0,1,1,3,1,2,2,1,2
55,0,5,2,1,3,1,1,2,1,1
56,2,0,2,1,3,1,2,2,1,2
57,2,4,1,1,3,1,1,2,1,1
58,2,2,0,1,2,1,1,2,1,2
59,2,0,1,1,2,1,1,2,1,2
60,0,5,2,1,3,1,1,2,1,1
61,2,4,2,1,2,1,2,2,1,2
62,2,2,0,2,3,3,2,2,1,2
63,3,2,1,2,3,1,2,2,1,2
64,2,4,1,1,3,1,2,2,1,2
65,1,4,2,1,2,1,2,2,1,2
66,2,4,1,1,3,1,2,2,1,2
67,5,1,3,1,2,1,2,2,1,1
68,2,4,1,1,3,1,2,2,1,2
69,0,5,2,1,3,1,1,2,1,1
70,0,5,2,1,3,1,1,2,1,1
71,1,3,2,1,3,1,1,2,1,1
72,5,4,3,1,2,1,1,1,1,2
73,2,0,2,1,2,1,2,2,1,2
74,2,2,0,2,2,3,2,2,1,2
75,2,2,1,1,3,1,2,2,1,2
76,2,4,1,1,2,1,2,2,1,1
77,1,0,2,1,2,1,2,2,1,2
78,2,4,2,1,1,1,2,2,1,2
79,5,4,3,1,3,1,2,2,1,2
80,2,2,1,1,3,1,2,2,1,2
81,5,3,3,1,2,1,1,2,1,2
82,0,5,2,1,2,1,1,2,1,1
83,5,4,3,1,3,1,1,1,1,2
84,1,4,2,1,1,1,2,2,1,2
85,2,2,0,2,2,3,2,2,1,2
86,2,0,1,1,2,1,2,2,1,2
87,1,4,2,2,2,1,2,2,1,1
88,1,4,2,1,2,1,2,2,1,2
89,1,4,2,1,2,1,2,2,1,2
90,1,4,2,2,3,1,2,2,1,2
91,2,2,1,1,3,1,2,2,1,2
92,5,3,3,1,2,1,1,2,1,2
93,5,4,3,1,3,1,1,1,1,2
94,1,4,2,1,2,1,1,2,1,2
95,1,2,2,1,2,3,2,2,1,2
96,1,4,2,1,1,3,2,2,1,2
97,1,4,2,1,1,1,2,2,1,2
98,1,2,1,1,3,1,2,2,1,2
99,3,0,0,1,3,1,2,2,1,2
100,5,3,3,1,2,1,1,2,1,2
101,5,4,3,1,2,1,1,1,1,2
102,5,3,3,1,2,1,1,2,1,2
103,5,4,3,2,2,1,1,2,1,2
104,0,5,2,1,3,1,1,2,1,2
105,1,4,1,1,2,1,2,2,1,2
106,5,4,3,1,1,1,2,2,1,2
107,2,2,0,1,3,3,2,2,1,2
108,2,0,1,2,2,3,2,2,1,2
109,5,4,3,1,2,1,1,2,1,2
110,0,5,2,1,2,1,1,2,1,1
111,1,4,1,2,3,3,1,2,1,1
112,1,4,2,1,1,1,1,2,1,2
113,5,2,3,2,2,3,2,2,1,2
114,2,2,1,1,3,1,2,2,1,2
115,5,0,3,1,3,1,1,2,1,2
116,1,3,2,1,1,1,1,2,1,2
117,1,3,2,1,3,1,1,2,1,2
118,0,5,2,1,3,1,1,2,1,1
119,0,5,2,1,3,1,1,2,1,1
120,5,2,3,1,3,1,2,2,1,2
121,1,2,1,1,3,1,2,2,1,2
122,5,4,3,1,2,1,1,2,1,2
123,0,5,2,1,3,1,1,2,1,1
124,1,3,1,2,3,3,1,2,1,2
125,5,3,3,1,2,3,1,2,1,2
126,0,5,2,1,3,1,1,2,1,1
127,2,3,2,1,3,1,1,2,1,2
128,5,2,3,1,2,1,2,2,1,2
129,2,2,1,1,2,1,2,2,1,2
130,5,1,3,1,3,1,1,2,1,2
131,0,5,1,1,3,1,1,2,1,1
132,0,5,2,1,3,1,1,2,1,1
133,0,5,1,1,3,1,1,2,1,1
134,2,3,2,2,2,1,1,2,1,2
135,5,0,3,1,3,1,2,2,1,2
136,1,2,2,1,2,1,2,2,1,2
137,5,4,3,1,2,1,1,2,1,2
138,0,5,2,1,2,1,1,2,1,1
139,0,5,2,1,2,1,1,2,1,1
140,1,3,2,1,3,1,1,2,1,1
141,0,5,1,1,3,1,1,2,1,1
142,1,0,2,1,3,1,2,2,1,2
143,1,2,1,1,2,1,2,2,1,2
144,5,4,3,1,2,1,1,2,1,2
145,2,4,1,1,3,1,1,2,1,1
146,0,5,2,1,2,1,1,2,1,1
147,0,5,2,2,2,1,1,2,1,1
148,5,4,3,1,2,1,1,1,1,2
149,5,0,3,1,3,1,1,2,1,2
150,1,2,1,1,3,1,2,2,1,2
151,0,5,2,1,3,1,1,2,1,2
152,5,4,3,1,3,1,1,1,1,2
153,1,4,2,1,3,1,1,2,1,2
154,1,0,1,1,3,1,1,2,1,2
155,5,4,3,1,3,1,1,1,1,2
156,2,4,2,1,3,1,1,2,1,2
157,1,4,2,1,2,3,2,2,1,2
158,0,5,2,1,2,1,1,2,1,1
159,5,4,3,1,2,1,1,1,1,2
160,1,4,2,1,3,1,1,2,1,2
161,1,4,2,1,3,1,1,2,1,2
162,5,0,3,1,3,1,1,1,1,2
163,0,5,2,2,1,1,1,2,1,1
164,5,3,3,1,2,1,1,1,1,2
165,1,4,2,2,2,1,2,2,1,2
166,5,4,3,1,3,1,1,1,1,2
167,5,4,3,2,2,3,1,2,1,2
168,1,4,2,1,2,1,1,2,1,2
169,1,0,1,1,3,1,1,2,1,2
170,3,4,1,1,3,1,1,2,1,2
171,0,5,2,1,2,1,1,2,1,1
172,2,4,2,1,2,1,1,2,1,2
173,1,4,2,1,1,1,2,2,1,2
174,1,4,2,1,2,1,1,2,1,2
175,5,4,3,1,1,1,1,2,1,2
176,1,4,2,1,2,1,1,2,1,2
177,1,4,1,2,2,1,1,2,1,2
178,2,4,2,1,2,1,2,2,1,2
179,2,4,2,1,3,1,1,2,1,2
180,0,5,2,1,3,1,1,2,1,2
181,1,0,2,1,3,1,1,2,1,2
182,1,4,2,1,3,1,1,2,1,2
183,1,3,1,1,3,1,1,2,1,2
184,0,5,2,1,2,3,2,2,1,2
185,0,5,1,2,3,1,1,2,1,2
186,2,1,2,1,2,1,1,2,1,2
187,5,4,3,1,1,1,1,2,1,2
188,5,3,3,1,2,1,1,2,1,2
189,5,0,3,1,2,1,1,2,1,2
190,1,3,1,1,2,1,1,2,1,2
191,1,3,2,2,1,1,1,2,1,2
192,2,2,2,1,3,1,1,2,1,2
193,2,3,2,1,2,1,1,2,1,2
194,5,4,3,1,2,1,1,2,1,2
195,0,5,2,1,2,1,1,2,1,1
196,0,5,1,1,3,1,1,2,1,2
197,0,5,2,1,3,1,1,2,1,1
198,1,4,2,1,3,1,1,2,1,2
199,2,0,1,1,3,1,1,2,1,2
200,0,5,2,1,3,1,1,2,1,2
201,0,5,2,1,2,1,1,2,1,2
202,0,5,1,1,3,1,1,2,1,1
203,0,5,1,1,3,1,1,2,1,1
204,2,0,1,1,3,1,1,2,1,2
205,1,1,1,2,3,1,1,2,1,2
206,2,2,2,1,3,1,2,2,1,2
207,0,5,2,1,3,1,1,2,1,2
208,1,2,1,1,3,1,1,2,1,1
209,1,0,2,1,2,1,1,2,1,2
210,2,0,1,1,2,1,1,2,1,2
211,0,5,2,1,3,1,1,2,1,2
212,0,5,1,1,3,1,1,2,1,2
213,0,5,2,1,3,1,1,2,1,2
214,0,5,1,1,2,1,2,2,1,2
215,0,5,1,1,3,1,1,2,1,1
216,1,0,1,1,3,1,2,2,1,2
217,1,1,1,2,2,3,1,2,1,2
218,4,2,1,1,2,1,2,2,1,2
219,1,3,2,1,2,3,1,2,1,2
220,3,0,2,1,2,1,1,2,1,2
221,1,4,2,1,1,1,1,2,1,2
222,2,0,1,1,3,1,2,2,1,2
223,0,5,2,2,3,1,1,2,1,2
224,1,3,2,1,3,1,1,2,1,2
225,2,4,1,1,2,1,2,2,1,2
226,5,0,3,1,3,1,1,1,1,2
227,0,5,2,1,2,1,1,2,1,1
228,1,0,2,1,3,1,2,2,1,2
229,2,1,1,1,3,1,1,2,1,2
230,4,0,1,2,3,1,2,2,1,2
231,3,2,2,1,3,1,1,2,1,2
232,5,4,3,1,3,1,1,2,1,2
233,2,2,0,1,3,1,2,2,1,2
234,0,5,2,1,3,1,1,2,1,1
235,0,5,2,2,2,3,1,2,1,1
236,2,0,1,1,3,1,1,2,1,2
237,1,0,1,1,3,1,2,2,1,2
238,5,3,3,1,2,1,1,1,1,2
239,1,3,2,1,1,1,2,2,1,1
240,2,1,1,2,3,3,2,2,1,2
241,3,2,1,2,2,3,2,2,1,2
242,3,2,1,1,3,1,1,2,1,2
243,1,4,2,1,2,1,1,2,1,2
244,2,2,0,1,3,1,2,2,1,2
245,0,5,2,1,3,1,1,2,1,1
246,0,5,2,2,2,3,1,2,1,1
247,2,4,2,1,3,1,2,2,1,2
248,5,3,3,1,3,1,1,2,1,2
249,5,0,3,1,3,1,2,2,1,2
250,5,3,3,1,2,1,1,1,1,2
251,5,4,3,1,3,1,1,2,1,2
252,1,3,1,1,3,1,1,2,1,2
253,1,1,1,1,2,1,2,2,1,2
254,4,0,1,1,3,1,2,2,1,2
255,3,2,1,2,3,1,2,2,1,2
256,5,4,3,1,2,1,1,2,1,2
257,2,2,0,1,3,1,2,2,1,2
258,2,4,1,1,3,1,2,2,1,2
259,5,0,3,1,3,1,2,2,1,2
260,5,3,3,1,2,1,1,1,1,1
261,5,4,3,1,2,1,1,2,1,2
262,0,5,2,1,3,1,1,2,1,2
263,1,1,2,1,2,1,2,2,1,2
264,4,0,1,2,3,3,2,2,1,2
265,3,2,0,1,3,1,2,2,1,2
266,1,4,2,1,3,1,1,2,1,2
267,2,2,0,2,3,1,2,2,2,2
268,1,4,2,1,2,1,2,2,1,2
269,1,3,2,1,2,1,2,2,1,1
270,0,5,2,1,3,1,1,2,1,1
271,5,3,3,1,3,1,1,2,1,2
272,3,0,1,1,3,1,1,2,1,2
273,0,5,2,1,2,1,1,2,1,1
274,5,4,3,2,3,1,2,2,1,2
275,3,0,1,2,2,3,2,2,1,2
276,3,2,1,1,2,1,2,2,1,2
277,5,4,3,1,3,1,1,2,1,2
278,2,2,0,2,3,3,2,2,2,2
279,1,4,1,1,2,1,2,2,1,1
280,0,5,2,1,3,1,1,2,1,1
281,3,0,1,1,3,1,2,2,1,2
282,0,5,2,1,3,1,1,2,1,1
283,5,2,3,1,2,1,2,2,1,2
284,4,2,1,1,3,3,2,2,2,2
285,3,0,1,2,2,3,2,2,1,2
286,5,1,3,1,3,1,1,2,1,2
287,2,2,0,2,2,1,2,2,2,2
288,1,0,2,1,3,1,2,2,1,2
289,3,2,1,1,3,1,1,2,1,2
290,5,4,3,1,2,1,2,2,1,2
291,4,4,2,1,2,1,2,2,1,2
292,3,0,1,2,2,1,2,2,1,2
293,5,4,3,1,2,1,1,2,1,2
294,2,2,0,2,2,3,2,2,2,2
295,5,4,3,1,1,1,2,2,1,2
296,3,4,1,1,3,1,1,2,1,2
297,5,4,3,1,2,1,2,2,1,2
298,4,4,2,1,2,1,2,2,1,2
299,3,4,2,2,2,3,2,2,1,2
300,5,4,3,1,2,1,1,2,1,2
301,2,2,0,2,2,1,2,2,2,2
302,5,4,3,1,2,1,2,2,1,2
303,1,4,2,1,2,1,2,2,1,2
304,0,5,2,1,3,1,1,2,1,1
305,0,5,2,1,3,1,1,2,1,1
306,5,4,3,1,3,1,1,1,1,2
307,5,4,3,1,2,1,2,2,1,2
308,3,0,2,2,3,1,2,2,1,2
309,5,4,3,1,3,1,1,2,1,2
310,2,2,0,2,2,3,2,2,2,2
311,5,4,3,1,3,1,2,2,1,2
312,1,0,2,1,2,1,2,2,1,2
313,2,0,2,1,3,1,1,2,1,2
314,2,4,2,1,3,1,1,2,1,2
315,1,4,2,1,1,3,2,2,1,2
316,5,4,3,1,2,1,1,2,1,2
317,2,2,0,2,3,3,2,2,2,2
318,1,3,2,1,2,1,2,2,1,2
319,2,3,2,1,3,1,1,2,1,2
320,3,0,2,1,3,1,1,2,1,2
321,1,3,2,1,3,1,1,2,1,1
322,3,2,0,1,3,1,1,2,2,2
323,5,0,3,1,3,1,1,1,1,1
324,2,3,2,1,3,1,1,2,1,1
325,1,4,2,1,3,1,1,2,1,1
326,5,3,3,1,2,1,1,1,1,1
327,5,4,3,1,1,1,1,2,1,1
328,1,0,2,1,2,1,1,2,1,1
329,0,5,2,1,3,1,1,2,1,1
330,1,0,2,1,3,1,1,2,1,1
331,1,0,2,1,2,1,1,2,1,1
332,0,5,2,1,3,1,1,2,1,1
333,1,0,2,1,2,1,1,2,1,1
334,0,5,2,1,3,1,1,2,1,1
335,0,5,1,1,2,1,1,2,1,1
336,1,4,2,2,2,1,1,2,1,1
337,0,5,2,1,3,1,1,2,1,1
338,0,5,2,1,2,1,1,2,1,1
339,2,3,1,1,3,1,1,2,1,1
340,5,4,3,1,3,1,1,2,1,1
341,0,5,2,1,2,1,1,2,1,1
342,0,5,2,1,2,1,2,2,1,1
343,5,4,3,1,2,1,1,2,1,1
344,0,5,2,1,3,1,1,2,1,1
345,0,5,2,2,2,1,2,2,1,1
346,1,3,2,1,3,1,1,2,1,1
347,0,5,2,1,2,1,2,2,1,1
348,0,5,2,1,3,1,1,2,1,1
349,2,0,1,2,3,1,1,2,1,1
350,0,5,2,1,3,1,1,2,1,1
351,2,3,2,1,3,1,1,2,1,1
352,0,5,2,1,3,1,1,2,1,1
353,0,5,2,1,1,1,2,2,1,1
354,0,5,2,1,1,1,1,2,1,1
355,1,3,1,2,1,1,2,2,1,1
356,0,5,2,1,3,1,1,2,1,1
357,2,3,1,1,3,1,2,2,1,1
358,0,5,2,1,2,1,1,2,1,1
359,1,3,2,1,3,1,1,2,1,1
360,3,0,0,1,3,1,1,2,1,1
361,5,0,3,1,2,1,1,1,1,1
362,0,5,2,1,2,1,2,2,1,1
363,0,5,2,1,3,1,1,2,1,1
364,0,5,2,1,2,1,1,2,1,1
365,2,2,1,2,3,1,2,2,1,1
366,3,0,1,2,2,1,1,2,1,1
367,2,0,1,1,3,1,2,2,1,1
368,0,5,2,1,3,1,1,2,1,1
369,5,3,3,1,2,1,1,2,1,1
370,1,3,2,1,2,1,1,2,1,1
371,2,0,2,2,3,3,2,2,1,1
372,3,4,2,2,3,1,2,2,1,1
373,1,3,2,1,3,1,1,2,1,1
374,3,4,1,2,3,1,2,2,1,1
375,1,3,2,1,3,1,1,2,1,1
376,2,0,1,2,3,1,2,2,1,1
377,3,0,1,2,3,1,2,2,1,1
378,5,4,3,1,3,1,1,1,1,1
379,2,0,2,1,3,1,1,2,1,1
380,2,3,2,1,3,1,1,2,1,1
381,2,4,2,1,3,1,2,2,1,1
382,0,5,2,1,2,1,1,2,1,1
383,2,0,1,2,2,1,2,2,1,1
384,3,0,1,2,3,3,2,2,1,1
385,5,4,3,1,1,1,1,1,1,1
386,2,4,1,2,3,1,1,2,1,1
387,2,4,2,2,3,2,1,2,1,1
388,2,3,2,1,3,1,1,2,1,1
389,2,4,2,1,3,1,2,2,1,1
390,2,4,2,1,3,1,1,2,1,1
391,2,4,2,1,2,1,2,2,1,1
392,3,2,0,2,3,3,2,2,2,1
393,5,3,3,1,3,1,1,1,1,1
394,2,0,2,1,2,1,2,2,1,1
395,1,4,1,1,3,1,1,2,1,1
396,1,4,2,1,2,1,1,2,1,1
397,0,5,2,1,3,1,1,2,1,1
398,0,5,2,1,3,1,1,2,1,1
399,2,4,2,1,2,1,2,2,1,1
400,2,0,1,1,3,1,1,2,1,1
401,2,4,2,1,2,1,2,2,1,1
402,4,2,0,2,3,1,2,2,2,1
403,2,0,1,1,3,1,2,2,1,1
404,1,3,2,1,2,1,1,2,1,1
405,1,3,2,1,3,1,1,2,1,1
406,0,5,2,1,3,1,1,2,1,1
407,2,4,2,1,2,1,2,2,1,1
408,5,0,3,1,2,1,2,2,1,1
409,2,0,2,1,3,1,2,2,1,1
410,4,2,0,2,2,1,2,2,1,1
411,2,4,1,2,2,1,2,2,1,1
412,0,5,2,1,2,1,1,2,1,1
413,1,3,2,1,3,1,1,2,1,1
414,0,5,2,1,3,1,1,2,1,1
415,0,5,2,1,3,1,1,2,1,1
416,2,4,2,1,2,1,1,2,1,1
417,5,3,3,1,2,1,2,2,1,1
418,5,0,3,1,2,1,2,2,1,1
419,1,4,2,1,2,1,2,2,1,1
420,4,0,1,1,2,1,2,2,2,1
421,2,4,2,1,2,1,2,2,1,1
422,1,3,2,1,2,1,1,2,1,1
423,2,0,0,2,3,1,1,2,1,1
424,0,5,2,1,1,1,1,2,1,1
425,3,0,1,2,3,1,1,2,1,1
426,5,0,3,1,2,1,2,2,1,1
427,1,4,2,1,3,1,2,2,1,1
428,4,0,0,2,3,1,2,2,2,1
429,2,4,2,1,2,1,2,2,1,1
430,2,0,1,2,3,1,2,2,1,1
431,0,5,2,1,3,1,1,2,1,1
432,3,0,1,2,3,1,2,2,1,1
433,2,4,2,2,3,1,2,2,1,1
434,4,0,1,2,2,1,2,2,1,1
435,5,4,3,1,1,1,2,2,1,1
436,2,0,1,2,2,1,2,2,1,1
437,0,5,2,1,2,1,1,2,1,1
438,3,4,1,2,2,1,2,2,1,1
439,5,4,3,1,2,1,1,1,1,1
440,4,0,0,2,2,1,2,2,1,1
441,5,4,3,1,2,1,2,2,1,1
442,3,0,2,1,2,1,2,2,1,1
443,3,0,1,1,2,1,2,2,1,1
444,0,5,2,1,3,1,1,2,1,1
445,1,4,2,1,3,1,1,2,1,1
446,5,4,3,1,2,1,2,2,1,1
447,4,0,1,2,2,1,2,2,1,1
448,3,0,2,1,2,1,2,2,1,1
449,3,4,1,1,2,1,2,2,1,1
450,3,0,2,1,3,1,1,2,1,1
451,5,4,3,1,2,1,1,1,1,1
452,3,4,2,1,1,1,2,2,1,1
453,3,4,1,2,3,1,2,2,1,1
454,1,4,2,2,2,1,1,2,1,1
455,3,4,2,1,2,1,1,2,1,1
456,3,0,1,1,2,1,2,2,1,1
457,5,4,3,1,2,1,1,2,1,1
458,3,0,2,1,3,1,1,2,1,1
459,5,1,3,1,2,1,1,1,1,1
460,0,5,2,1,3,1,1,2,1,1
461,1,3,2,1,3,1,1,2,1,1
462,3,4,1,1,2,1,2,2,1,1
463,1,4,2,2,3,1,1,2,1,1
464,3,4,2,1,3,1,1,2,1,1
465,5,1,3,1,3,1,1,1,1,1
