,Class1,Class2,Class3,Class4,Class5,Class6,Class7,Class8,Class9,Class10,Class11,Class12,Class13,Class14
0,0,0,0,0,0,0,1,1,0,0,0,1,1,0
1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2,0,1,1,0,0,0,0,0,0,0,0,1,1,0
3,0,0,1,1,0,0,0,0,0,0,0,0,0,0
4,0,0,1,1,1,1,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,1,1,1,1,0
6,1,0,0,0,0,0,0,0,0,0,0,1,1,0
7,1,0,1,1,0,0,0,0,0,0,0,1,1,0
8,1,1,0,0,0,0,0,0,0,0,0,1,1,0
9,0,0,1,1,0,0,0,0,0,0,0,1,1,0
10,0,0,0,0,1,1,1,1,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,1,1,1,1,0
12,0,1,1,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,1,1,0,0,0,0,0,0,1,1,0
14,0,0,0,0,0,0,0,1,1,0,0,0,0,0
15,1,0,1,1,0,0,0,0,0,1,1,1,1,0
16,0,0,0,0,1,1,0,0,0,0,0,1,1,0
17,1,1,0,0,0,0,0,0,0,0,0,1,1,0
18,0,0,0,1,1,0,0,0,0,0,0,1,1,0
19,0,0,1,1,0,0,0,0,0,0,0,1,1,0
20,0,0,1,1,0,0,0,0,0,0,0,1,1,0
21,1,1,0,0,0,0,0,0,0,0,0,1,1,0
22,0,0,0,0,1,1,1,1,0,0,0,0,0,0
23,0,0,0,0,1,1,1,1,0,0,1,1,1,0
24,0,1,1,0,1,1,0,0,0,0,0,1,1,0
25,0,1,1,0,0,0,0,0,1,1,0,1,1,0
26,1,1,0,0,0,1,1,1,0,0,0,1,1,0
27,0,0,0,0,1,1,1,1,0,0,0,1,1,0
28,1,1,0,0,1,1,0,0,0,0,0,0,0,0
29,1,0,0,0,0,1,1,0,0,0,0,0,0,0
30,0,0,0,1,1,0,0,0,0,0,0,1,1,0
31,0,0,0,0,0,0,0,1,1,0,0,0,0,0
32,1,1,1,1,0,0,0,0,0,0,0,1,1,0
33,1,1,0,0,0,0,0,0,0,0,0,0,0,0
34,0,1,1,0,1,1,0,0,0,1,1,1,1,0
35,0,0,1,1,0,0,0,0,0,0,0,1,1,0
36,0,1,1,0,0,0,1,1,0,0,0,1,1,0
37,1,1,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,1,1,0,0,0,1,1,0,0
39,1,1,0,0,1,1,0,0,0,0,0,1,1,0
40,1,1,1,0,0,0,0,0,0,0,0,1,1,0
41,1,1,0,0,0,1,1,1,0,0,0,1,1,0
42,1,1,1,0,0,0,0,0,0,0,0,1,1,0
43,0,0,0,1,1,0,0,0,0,0,0,1,1,0
44,0,0,1,1,1,1,0,0,0,0,0,1,1,0
45,0,0,0,0,1,1,0,1,1,0,0,0,0,0
46,0,0,0,0,1,1,0,0,0,0,0,0,0,0
47,0,0,0,0,1,1,1,1,1,0,0,1,1,0
48,0,1,1,1,0,0,0,0,0,1,1,1,1,0
49,1,1,0,0,0,0,0,0,0,0,0,1,1,0
50,0,0,1,1,0,0,0,1,1,0,0,0,0,0
51,0,0,0,0,1,1,1,1,0,0,0,1,1,0
52,1,1,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,1,1,0,0,0,0,0,0,0,1,1,0
54,0,0,0,0,0,1,1,1,0,1,1,1,1,0
55,0,0,1,1,0,0,0,0,0,0,0,0,0,0
56,1,0,0,0,0,1,1,1,0,0,0,1,1,0
57,0,1,1,0,0,0,0,0,0,0,0,1,1,0
58,0,1,1,0,0,0,0,0,1,1,0,1,1,0
59,0,0,0,1,1,0,0,0,0,0,0,1,1,0
60,0,1,1,0,0,0,1,1,0,0,0,1,1,0
61,0,1,1,0,0,0,0,1,1,1,1,0,0,0
62,0,0,0,0,0,0,0,0,0,1,1,1,1,0
63,0,0,0,0,1,1,1,0,0,0,0,1,1,0
64,1,1,0,0,1,1,0,0,0,0,0,1,1,0
65,1,1,0,0,0,0,0,1,1,0,0,0,0,0
66,0,0,0,0,0,1,1,1,0,0,1,1,1,0
67,1,1,0,0,0,0,0,0,0,0,0,1,1,0
68,1,1,0,0,1,1,0,0,0,0,0,1,1,0
69,0,1,1,0,0,0,0,0,0,0,0,1,1,0
70,0,0,1,1,0,0,0,0,0,1,1,1,1,0
71,0,0,1,1,0,0,1,1,0,0,0,1,1,0
72,1,1,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,0,1,1,0,0,0,0,0,0,1,1,0
74,0,1,1,1,0,0,0,0,0,0,0,1,1,0
75,1,1,0,0,0,0,0,0,0,0,0,1,1,0
76,0,1,1,0,0,0,0,0,0,1,1,0,0,0
77,0,0,0,0,1,1,0,0,0,0,0,1,1,0
78,0,0,1,1,0,0,0,0,0,0,0,1,1,0
79,1,1,0,0,0,0,0,0,0,0,0,1,1,0
80,0,0,0,1,1,0,0,0,0,0,0,1,1,0
81,0,0,0,0,1,1,0,0,0,0,0,1,1,0
82,1,1,0,0,0,0,0,0,0,0,0,0,0,0
83,0,1,1,0,0,0,0,0,0,0,0,1,1,0
84,0,0,0,0,0,0,0,1,1,0,0,1,1,0
85,0,1,1,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,1,1,0,0,0,0,0,0,0,0,0
87,0,0,0,1,1,0,0,0,0,0,0,1,1,0
88,0,0,1,1,0,0,0,0,0,0,0,1,1,0
89,0,0,0,0,0,1,1,0,0,0,1,1,0,0
90,0,0,1,1,0,0,0,0,0,1,1,1,1,0
91,0,1,1,0,1,1,0,0,0,0,0,1,1,0
92,0,0,1,1,0,0,1,1,0,0,0,1,1,0
93,0,0,0,0,1,1,0,0,0,0,0,0,0,0
94,0,0,1,1,0,0,0,0,0,0,0,1,1,0
95,0,0,0,1,1,0,0,0,0,0,0,1,1,0
96,0,0,0,0,1,1,0,0,0,0,0,1,1,0
97,0,1,1,0,1,1,0,1,1,0,0,1,1,0
98,1,0,1,1,0,0,0,0,0,0,0,1,1,0
99,0,0,0,1,1,0,0,0,0,0,0,1,1,0
100,0,0,0,0,0,1,1,1,0,1,1,1,1,0
101,0,0,1,1,0,0,0,0,0,0,0,0,0,0
102,0,1,1,0,0,0,0,0,0,0,0,1,1,0
103,1,1,0,0,0,1,1,1,0,0,0,1,1,0
104,0,0,0,0,1,1,0,0,0,0,0,0,0,0
105,0,0,0,1,1,0,0,0,0,0,0,1,1,0
106,1,1,0,0,0,0,1,1,0,0,0,1,1,0
107,1,1,1,0,0,0,0,0,0,0,0,1,1,0
108,0,0,0,0,0,0,0,0,0,0,0,1,1,0
109,0,0,0,1,1,0,0,0,0,0,0,1,1,0
110,0,0,1,1,0,0,0,0,0,0,0,1,1,0
111,0,0,0,0,0,0,0,0,0,1,1,0,0,0
112,1,1,0,0,0,1,1,1,0,0,0,1,1,0
113,0,0,0,0,0,0,0,1,1,0,0,0,0,0
114,0,0,1,1,0,0,0,0,0,0,0,1,1,0
115,0,0,0,0,1,1,0,0,0,1,1,1,1,0
116,1,1,1,0,0,0,0,0,0,0,0,0,0,0
117,0,0,0,1,1,0,0,1,1,0,0,1,1,0
118,1,1,0,0,0,0,0,0,0,0,0,1,1,0
119,0,0,0,0,1,1,0,0,0,0,0,1,1,0
120,1,0,0,0,0,0,0,0,0,0,0,1,1,0
121,1,1,0,0,0,0,0,0,0,0,0,0,0,0
122,0,0,0,0,0,0,0,1,1,0,0,0,0,0
123,0,1,1,1,0,0,0,0,0,0,0,1,1,0
124,0,1,1,0,1,1,0,1,1,0,0,1,1,0
125,0,0,0,0,1,1,0,0,0,0,0,0,0,0
126,0,0,0,0,1,1,1,1,1,0,0,1,1,0
127,1,1,0,0,0,0,0,0,0,0,0,0,0,0
128,0,0,0,0,1,1,0,0,0,0,0,0,0,0
129,0,0,1,1,1,1,0,0,0,0,0,0,0,0
130,1,1,1,1,0,0,0,0,0,0,0,1,1,0
131,0,1,1,0,0,0,0,0,0,0,0,1,1,0
132,0,1,1,0,0,0,0,1,1,0,0,1,1,0
133,0,1,1,0,0,0,1,1,0,0,0,1,1,0
134,1,1,0,0,1,1,0,0,0,0,0,1,1,0
135,0,0,0,0,1,1,0,0,0,0,0,0,0,0
136,1,1,0,0,0,0,0,0,0,0,0,0,0,0
137,0,1,1,0,0,0,0,0,1,1,0,1,1,0
138,0,1,1,0,0,0,0,0,0,1,1,1,1,0
139,0,0,0,1,1,0,0,0,0,0,0,1,1,0
140,1,0,0,0,0,0,0,0,0,0,0,1,1,0
141,0,0,0,1,1,1,0,0,0,0,0,1,1,0
142,0,0,1,1,0,0,0,0,0,0,0,1,1,0
143,0,0,0,0,1,1,1,1,1,0,0,1,1,0
144,1,0,0,0,0,0,0,0,0,0,0,1,1,0
145,0,0,0,0,0,0,0,0,0,0,0,1,1,0
146,0,0,1,1,0,0,0,0,0,0,0,1,1,0
147,0,0,0,1,1,0,0,0,0,0,0,1,1,0
148,0,0,0,1,1,1,1,0,0,0,0,1,1,0
149,0,0,0,0,0,0,1,1,0,0,0,1,1,0
150,0,1,1,0,0,0,0,0,0,1,1,1,1,0
151,0,0,0,0,0,0,0,0,0,1,1,0,0,0
152,0,0,0,0,0,0,1,1,0,0,0,0,0,0
153,0,1,1,0,0,0,0,0,0,0,0,0,0,0
154,0,0,0,1,1,0,0,0,0,0,0,1,1,0
155,0,0,0,0,0,0,1,1,0,0,0,1,1,0
156,1,1,0,0,0,0,0,0,0,0,0,1,1,0
157,1,1,0,0,0,0,0,0,0,0,0,1,1,0
158,0,0,0,0,0,0,1,1,0,0,0,1,1,0
159,1,1,0,0,0,0,0,0,0,0,0,1,1,0
160,0,0,1,1,0,0,0,0,0,0,0,1,1,0
161,1,1,0,0,0,0,0,0,0,0,0,0,0,0
162,1,1,0,0,1,1,0,0,0,0,0,0,0,0
163,1,0,0,0,0,0,0,0,0,0,0,1,1,0
164,0,0,0,0,0,0,1,1,0,0,0,1,1,0
165,1,1,0,0,0,0,0,0,0,0,0,1,1,0
166,0,0,0,0,0,0,1,1,0,0,0,1,1,0
167,0,0,1,1,0,0,0,0,0,0,0,0,0,0
168,0,1,1,0,1,1,0,0,0,1,1,1,1,0
169,0,1,1,0,0,0,0,0,0,0,0,0,0,0
170,0,0,0,0,0,1,1,0,0,0,0,1,1,0
171,1,0,0,0,0,0,0,0,0,0,0,0,0,0
172,0,0,0,0,0,0,1,1,0,0,0,1,1,0
173,0,0,0,1,1,0,0,0,0,0,0,1,1,0
174,0,1,1,1,0,0,0,0,0,0,0,1,1,0
175,1,1,0,0,0,0,0,0,0,0,0,1,1,0
176,0,0,0,1,1,0,0,0,0,0,0,1,1,0
177,1,1,1,1,0,0,0,0,0,0,0,0,0,0
178,0,0,0,1,1,0,0,0,0,0,0,1,1,0
179,0,1,1,0,0,0,0,0,0,0,0,1,1,0
180,0,1,1,0,0,0,0,0,0,0,0,1,1,0
181,1,1,0,0,0,0,0,0,0,0,0,1,1,0
182,0,0,0,0,0,0,0,1,1,0,0,0,0,0
183,1,0,0,0,0,1,1,1,0,0,0,1,1,0
184,1,1,0,0,0,0,1,1,0,0,0,0,0,0
185,0,1,1,0,0,0,1,1,0,0,0,1,1,0
186,0,1,1,1,0,0,0,0,0,1,1,1,1,0
187,0,0,0,0,1,1,0,0,0,1,1,1,1,0
188,0,0,1,1,0,0,0,0,0,0,0,1,1,0
189,0,0,1,1,0,0,0,0,0,0,0,1,1,0
190,0,0,1,1,0,0,0,0,0,0,0,1,1,0
191,1,1,0,0,0,1,1,1,0,0,0,1,1,0
192,1,1,1,0,0,0,0,0,1,1,0,0,0,0
193,0,0,0,0,0,0,1,1,0,0,0,1,1,0
194,1,1,0,0,1,1,0,0,0,0,0,1,1,0
195,0,0,0,0,0,0,1,1,0,0,0,1,1,0
196,1,0,1,1,0,0,0,0,0,0,0,1,1,0
197,1,1,0,0,0,0,0,0,0,0,0,1,1,0
198,0,0,0,0,0,0,1,1,0,0,0,1,1,0
199,1,1,0,0,0,0,0,0,0,0,0,0,0,0
200,1,1,0,0,0,0,0,1,1,0,0,1,1,0
201,1,1,0,0,0,1,1,1,0,0,0,1,1,0
202,0,0,0,0,1,1,1,1,0,0,0,1,1,0
203,0,0,1,1,0,0,0,0,0,0,0,1,1,0
204,0,0,0,0,1,1,0,0,0,0,0,1,1,0
205,1,1,0,0,0,1,1,1,0,0,1,1,1,0
206,1,1,0,0,0,0,0,0,0,0,0,1,1,0
207,0,0,0,1,1,0,0,0,0,0,0,1,1,0
208,1,0,0,0,0,0,0,0,0,0,0,1,1,0
209,1,1,0,0,0,0,0,0,0,0,0,0,0,0
210,0,1,1,0,0,0,0,0,0,0,0,0,0,0
211,1,0,0,0,0,0,0,0,0,1,1,0,0,0
212,1,1,0,0,0,0,0,0,0,0,0,1,1,0
213,0,0,0,0,0,0,1,1,0,0,0,1,1,0
214,1,1,0,0,0,0,0,0,0,0,0,1,1,0
215,1,1,0,0,0,0,0,0,0,0,0,0,0,0
216,0,0,1,1,1,0,0,0,0,1,1,0,0,0
217,0,0,1,1,0,0,0,0,0,0,0,1,1,0
218,1,1,0,0,0,0,0,0,0,0,0,0,0,0
219,1,1,0,0,0,1,1,1,0,0,0,1,1,0
220,0,0,1,1,0,0,0,0,0,0,0,1,1,0
221,1,1,0,0,0,0,0,0,0,0,0,0,0,0
222,0,0,0,0,0,0,1,1,0,0,0,1,1,0
223,0,0,1,1,1,1,0,0,0,0,0,0,0,0
224,1,1,1,1,0,0,0,0,0,0,0,1,1,0
225,1,1,1,1,1,1,0,0,0,0,0,1,1,0
226,0,0,0,0,1,1,0,0,0,0,0,1,1,0
227,1,1,0,0,0,0,0,0,0,0,0,1,1,0
228,0,0,0,1,1,0,0,0,0,0,0,1,1,0
229,1,0,0,0,1,1,0,0,0,0,0,1,1,0
230,0,0,0,0,1,1,0,0,0,0,0,1,1,0
231,0,0,0,0,1,1,0,0,0,0,0,1,1,0
232,0,1,1,0,1,1,0,0,0,0,0,1,1,0
233,0,0,0,0,0,0,0,0,0,0,0,1,1,0
234,0,0,1,1,0,0,0,0,0,0,0,1,1,0
235,0,1,1,0,0,0,0,0,0,0,0,0,0,0
236,1,1,0,0,0,0,0,0,0,1,1,0,0,0
237,1,1,0,0,0,1,1,1,0,0,1,1,1,0
238,1,1,0,0,0,0,0,0,0,0,0,0,0,0
239,1,0,1,1,0,0,0,0,0,0,0,1,1,0
240,0,0,0,0,0,0,1,1,0,0,0,1,1,0
241,0,0,0,1,1,0,0,0,0,0,0,1,1,0
242,1,1,1,1,0,0,0,0,0,0,0,0,0,0
243,1,1,1,0,1,1,0,0,0,0,0,1,1,0
244,1,1,0,0,0,0,0,0,0,0,0,0,0,0
245,0,0,0,1,1,0,0,0,0,0,0,0,0,0
246,1,1,1,1,0,0,0,0,0,0,0,1,1,0
247,1,1,0,0,0,0,0,0,0,0,0,1,1,0
248,1,1,0,0,0,0,0,0,0,0,0,0,0,0
249,0,1,1,0,0,0,0,0,1,1,0,0,0,0
250,0,1,1,0,0,0,0,0,1,1,1,1,1,0
251,1,1,0,0,0,1,1,0,0,0,0,0,0,0
252,0,0,0,1,1,0,0,0,0,0,0,1,1,0
253,1,1,0,0,0,0,0,0,0,0,0,0,0,0
254,1,1,0,0,1,1,0,0,0,0,0,1,1,0
255,1,1,1,1,0,0,0,0,0,1,1,1,1,0
256,1,1,1,1,0,0,0,0,0,0,0,1,1,0
257,0,0,0,1,1,0,0,0,0,0,0,1,1,0
258,1,1,1,0,0,0,0,0,0,0,0,0,0,0
259,1,1,0,0,0,0,0,0,0,0,0,0,0,0
260,1,1,0,0,1,1,0,0,0,0,0,0,0,0
261,0,0,0,0,0,0,1,1,1,1,0,0,0,0
262,0,1,1,0,0,0,0,0,0,0,0,1,1,0
263,0,0,0,0,1,1,1,1,0,0,0,1,1,0
264,1,1,0,0,0,1,1,1,0,0,0,1,1,0
265,0,0,1,1,0,0,0,0,0,0,0,0,0,0
266,0,0,0,1,1,0,0,0,0,0,0,1,1,0
267,0,0,1,1,0,0,0,0,0,0,0,0,0,0
268,1,1,0,0,1,1,0,0,0,0,0,1,1,0
269,0,1,1,0,0,0,0,0,0,0,0,1,1,0
270,0,1,1,0,0,0,0,0,0,0,0,1,1,0
271,0,0,0,1,1,0,0,0,0,0,0,1,1,0
272,0,0,0,0,1,1,0,0,0,0,0,1,1,0
273,0,0,0,0,0,0,1,1,0,0,0,1,1,0
274,0,0,0,0,0,0,0,0,0,1,1,1,1,0
275,0,0,1,1,0,0,0,0,0,0,0,1,1,0
276,0,0,0,0,1,1,1,1,0,0,0,1,1,0
277,1,1,0,0,0,0,0,0,0,0,0,1,1,0
278,0,0,1,1,0,0,0,0,0,0,0,1,1,0
279,1,1,0,0,0,0,0,0,0,0,0,1,1,0
280,0,1,1,0,0,0,0,0,1,1,0,1,1,0
281,0,0,0,1,1,0,0,0,0,0,0,1,1,0
282,0,0,1,1,0,0,0,0,0,0,0,1,1,0
283,0,0,0,0,0,0,1,1,0,0,0,0,0,0
284,0,0,0,0,1,1,1,1,0,0,0,1,1,0
285,0,0,0,0,1,1,0,0,0,0,0,1,1,0
286,0,1,1,0,0,0,0,0,1,1,1,1,1,0
287,0,1,1,0,0,0,0,1,1,0,0,0,0,0
288,1,1,0,0,0,0,0,0,0,0,0,1,1,0
289,0,1,1,1,1,1,0,0,0,0,0,1,1,0
290,0,0,1,1,0,0,0,0,0,0,0,1,1,0
291,0,1,1,0,1,1,0,0,0,0,0,1,1,0
292,0,0,0,1,1,0,0,0,0,0,0,1,1,0
293,0,0,1,1,0,0,0,0,0,0,0,1,1,0
294,0,0,0,0,1,1,0,0,0,0,0,1,1,0
295,0,0,1,1,0,0,0,0,0,1,1,1,1,0
296,0,0,0,0,1,1,0,0,0,0,0,1,1,0
297,1,0,0,0,0,0,0,0,0,0,0,1,1,0
298,0,0,0,0,0,1,1,0,0,0,0,1,1,0
299,0,0,1,1,0,0,0,0,0,0,0,1,1,0
300,0,0,1,1,0,0,0,0,0,0,0,1,1,0
301,0,0,0,0,0,0,0,1,1,0,0,0,0,0
302,1,1,0,0,0,0,0,0,0,0,0,1,1,0
303,0,1,1,0,0,0,0,0,0,0,0,0,0,0
304,0,0,0,1,1,0,0,0,0,0,0,1,1,0
305,0,1,1,0,0,0,0,1,1,1,0,0,0,0
306,0,1,1,0,0,0,0,0,0,0,0,1,1,0
307,0,0,1,1,0,0,0,0,0,0,0,1,1,0
308,1,1,0,0,0,1,1,0,0,1,1,1,1,0
309,0,0,1,1,0,0,0,0,0,0,0,1,1,0
310,1,1,0,0,0,0,0,0,0,0,0,0,0,0
311,0,0,0,1,1,0,0,0,0,0,0,1,1,0
312,0,0,0,1,1,0,0,0,0,0,0,1,1,0
313,0,0,0,1,1,0,0,0,0,0,0,1,1,0
314,1,1,1,1,0,0,0,1,1,0,0,0,0,0
315,0,1,1,0,0,0,0,0,0,0,0,1,1,0
316,1,1,0,0,0,0,0,0,0,0,0,0,0,0
317,0,0,0,1,1,0,0,0,0,0,0,1,1,0
318,1,1,1,0,0,0,0,0,0,0,0,0,0,0
319,0,0,1,1,1,1,1,0,0,0,0,1,1,0
320,0,0,0,0,1,1,1,1,1,0,0,1,1,0
321,1,1,0,0,0,0,0,0,0,0,0,1,1,0
322,0,0,0,0,1,1,1,1,0,0,0,1,1,0
323,0,0,0,0,0,0,0,0,0,0,0,1,1,0
324,0,1,1,0,0,0,0,0,0,0,0,0,0,0
325,0,0,1,1,0,0,0,0,0,0,0,1,1,0
326,0,1,1,0,1,1,1,1,1,0,0,1,1,0
327,0,0,1,1,0,0,0,0,0,0,0,0,0,0
328,0,0,0,0,1,1,1,1,0,0,0,1,1,0
329,0,0,0,1,1,0,0,1,1,0,0,0,0,0
330,0,0,0,1,1,0,0,0,0,0,0,1,1,0
331,0,0,1,1,0,0,0,0,0,0,0,1,1,0
332,1,0,0,0,0,0,0,0,0,0,0,1,1,0
333,0,0,0,0,1,1,1,1,0,0,0,1,1,0
334,0,0,1,1,0,0,0,0,0,0,0,1,1,0
335,1,1,0,0,1,1,0,0,0,0,0,1,1,0
336,0,0,0,0,1,1,1,1,0,0,0,1,1,0
337,1,0,0,0,0,0,0,0,0,0,0,1,1,0
338,1,1,0,0,0,0,0,0,1,1,1,0,0,0
339,1,1,0,0,0,0,0,0,0,0,0,0,0,0
340,0,0,1,1,0,0,0,0,0,1,1,1,1,0
341,0,0,0,0,1,1,1,1,0,0,0,1,1,0
342,1,1,1,1,0,0,0,0,0,0,0,1,1,0
343,1,1,1,1,0,0,0,0,0,0,0,1,1,0
344,0,0,0,0,0,0,0,0,0,0,0,1,1,0
345,0,0,0,0,0,0,0,1,1,0,0,0,0,0
346,0,0,0,0,0,0,0,0,0,1,1,0,0,0
347,0,0,0,0,0,0,1,1,0,0,0,1,1,0
348,0,1,1,1,0,0,0,0,0,0,0,0,0,0
349,0,0,1,1,0,0,0,0,0,0,0,1,1,0
350,1,1,1,1,0,0,0,0,0,0,0,1,1,0
351,0,0,0,1,1,0,0,0,0,0,0,1,1,0
352,0,1,1,0,0,0,0,0,0,0,0,1,1,0
353,1,1,1,1,0,0,0,0,0,0,0,1,1,0
354,0,1,1,1,0,0,0,0,0,0,0,1,1,0
355,0,1,1,0,0,0,0,0,0,0,0,1,1,0
356,1,1,1,0,0,0,0,0,1,1,0,1,1,0
357,0,1,1,0,0,0,0,0,0,0,0,1,1,0
358,0,0,0,0,1,1,1,1,0,0,0,1,1,0
359,0,0,0,0,1,1,0,0,0,0,0,1,1,0
360,0,1,1,0,0,0,0,0,0,0,0,1,1,0
361,1,1,0,0,1,1,0,0,0,0,0,1,1,0
362,1,0,0,0,0,1,1,0,0,0,1,1,0,0
363,0,0,0,0,1,1,1,1,1,0,0,1,1,0
364,0,0,0,1,1,0,0,0,0,0,0,1,1,0
365,1,0,0,0,0,0,0,0,0,0,0,1,1,0
366,0,1,1,1,0,0,0,0,0,0,0,0,0,0
367,1,1,0,0,0,0,0,0,0,0,0,0,0,0
368,0,0,0,0,0,0,0,0,0,0,0,1,1,0
369,0,0,0,1,1,0,0,0,0,0,0,1,1,0
370,1,1,1,0,1,1,1,1,0,0,0,1,1,0
371,1,1,0,0,0,0,0,0,0,0,0,0,0,0
372,0,0,0,1,1,0,0,0,0,0,0,1,1,0
373,0,1,1,0,0,0,0,0,0,0,0,0,0,0
374,0,0,0,1,1,0,0,0,0,0,0,1,1,0
375,1,1,0,0,0,0,0,0,0,0,0,1,1,0
376,0,1,1,0,0,0,1,1,1,0,0,0,0,0
377,1,1,0,0,0,0,0,0,0,0,0,0,0,0
378,0,0,0,1,1,0,0,0,0,0,0,1,1,0
379,0,0,0,1,1,0,0,0,0,0,0,1,1,0
380,0,0,1,1,0,0,0,0,0,0,0,1,1,0
381,0,0,0,1,1,0,0,0,0,0,0,1,1,0
382,0,1,1,0,0,0,0,1,1,0,0,1,1,0
383,0,0,0,0,0,0,1,1,0,0,0,1,1,0
384,0,1,1,1,0,0,0,0,0,0,0,1,1,0
385,1,0,1,1,0,0,0,0,0,0,0,0,0,0
386,1,1,0,0,1,1,0,0,0,0,0,1,1,0
387,0,0,0,0,1,1,1,1,0,0,0,0,0,0
388,1,1,0,1,1,0,0,0,0,0,0,1,1,0
389,0,0,0,0,0,0,0,0,0,0,0,1,1,0
390,1,1,0,0,1,1,0,0,0,0,0,0,0,0
391,0,0,0,0,1,1,0,0,0,1,1,1,1,0
392,0,1,1,0,0,0,0,0,0,0,0,0,0,0
393,0,0,1,1,0,0,0,0,0,0,0,0,0,0
394,1,1,1,1,0,0,0,0,0,0,0,1,1,0
395,1,1,1,0,0,0,0,0,0,1,1,1,1,0
396,0,0,0,0,1,1,0,1,1,0,0,0,0,0
397,0,0,1,1,0,0,0,0,0,0,0,1,1,1
398,1,1,0,0,0,0,0,0,0,0,0,0,0,0
399,0,1,1,0,1,1,0,0,0,0,0,1,1,0
400,0,0,1,1,0,0,1,1,0,0,0,1,1,0
401,0,0,0,0,1,1,0,0,0,1,1,1,1,0
402,0,0,0,1,1,0,0,0,0,0,0,1,1,0
403,0,0,0,0,1,1,0,0,0,0,0,1,1,0
404,0,0,1,1,0,0,0,0,0,0,0,1,1,0
405,1,0,0,0,0,1,1,1,0,0,0,1,1,0
406,1,1,0,0,0,0,0,0,0,0,0,1,1,0
407,0,0,0,0,1,1,1,1,0,0,0,1,1,0
408,0,0,1,1,0,0,0,0,0,0,0,1,1,0
409,1,1,0,0,0,0,0,0,0,1,1,1,1,0
