Att1,Att2,Att3,Att4,Att5,Att6,Att7,Att8,Att9,Att10,Att11,Att12,Att13,Att14,Att15,Att16,Att17,Att18,Att19
5,1,648.0,16.0,10,2,0.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0
3,1,29.0,3.0,6,6,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,0
4,1,2388.0,20.0,8,2,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0
6,3,0.0,0.0,1,1,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0
3,1,0.0,0.0,6,0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
4,2,1247.0,7.0,10,5,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0
1,4,0.0,0.0,1,1,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
1,4,0.0,0.0,1,1,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0
2,3,2777.0,28.0,2,0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
2,3,2777.0,28.0,2,0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
6,2,7690.0,15.0,1,1,0.0,0.0,3.0,0.0,1.0,1.0,1.0,6.0,0,0,0,0,0
3,1,84.0,8.0,4,0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
1,4,19.0,0.0,1,1,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0
5,1,1.0,0.0,8,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
5,1,143.0,90.0,6,2,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0
1,4,0.0,0.0,1,1,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0
3,1,31.0,10.0,6,0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
1,4,23.0,0.0,1,1,0.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0,0,1,1,1
4,1,113.0,3.0,3,5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1,4,0.0,0.0,1,1,0.0,0.0,6.0,1.0,1.0,1.0,1.0,0.0,0,0,1,1,0
5,1,47.0,1.0,10,3,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0,0,0,1,0
2,3,1099.0,6.0,2,0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
4,2,600.0,1.0,10,5,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
2,3,8512.0,119.0,6,0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,22.0,0,0,0,0,1
1,4,0.0,0.0,1,1,0.0,0.0,6.0,0.0,1.0,1.0,1.0,0.0,0,0,1,1,1
5,1,6.0,0.0,10,2,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1
3,1,111.0,9.0,5,6,0.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,0
4,4,274.0,7.0,3,5,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
5,1,678.0,35.0,10,3,0.0,0.0,3.0,0.0,0.0,0.0,1.0,14.0,0,0,1,1,0
4,2,28.0,4.0,10,5,0.0,0.0,3.0,1.0,0.0,1.0,0.0,3.0,0,0,0,0,0
4,1,474.0,8.0,3,1,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1,4,9976.0,24.0,1,1,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
4,4,4.0,0.0,6,0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,0
1,4,0.0,0.0,1,1,0.0,0.0,6.0,1.0,1.0,1.0,1.0,4.0,0,0,1,1,1
4,1,623.0,2.0,10,5,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
4,1,1284.0,4.0,3,5,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
2,3,757.0,11.0,2,0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0
5,1,9561.0,1008.0,7,6,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0,0,0,0,0
2,4,1139.0,28.0,2,0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
4,2,2.0,0.0,3,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1,0,0,0,0
4,2,342.0,2.0,10,5,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,0
6,3,0.0,0.0,1,1,0.0,0.0,4.0,1.0,1.0,1.0,1.0,15.0,0,0,0,0,0
1,4,51.0,2.0,2,0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
1,4,115.0,10.0,2,6,0.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0
3,1,9.0,1.0,6,1,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0
3,1,128.0,15.0,5,6,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0
3,1,43.0,5.0,6,1,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0
4,1,22.0,0.0,3,2,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0
1,4,0.0,0.0,1,1,0.0,0.0,6.0,1.0,0.0,0.0,0.0,10.0,0,0,0,1,0
1,4,49.0,6.0,2,0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0
2,3,284.0,8.0,2,0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
4,1,1001.0,47.0,8,2,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1
1,4,21.0,5.0,2,0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
4,1,28.0,0.0,10,5,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0
4,1,1222.0,31.0,10,1,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
3,4,1.0,0.0,6,1,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0
2,3,12.0,0.0,1,1,0.0,0.0,6.0,1.0,1.0,1.0,1.0,0.0,0,0,1,1,1
6,2,18.0,1.0,1,1,0.0,0.0,7.0,0.0,2.0,1.0,1.0,0.0,0,0,1,1,0
3,1,337.0,5.0,9,1,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0
3,1,547.0,54.0,3,0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
2,4,91.0,0.0,3,0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
6,3,4.0,0.0,3,0,0.0,3.0,5.0,1.0,0.0,0.0,0.0,1.0,0,0,1,0,0
4,2,268.0,1.0,10,5,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
4,4,10.0,1.0,1,5,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
3,1,108.0,17.0,4,6,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0
3,1,249.0,61.0,4,1,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
4,4,239.0,14.0,1,5,0.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
3,4,0.0,0.0,1,1,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0
3,1,132.0,10.0,6,1,0.0,9.0,2.0,0.0,1.0,0.0,1.0,0.0,0,0,0,0,0
1,4,2176.0,0.0,6,1,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0
1,4,0.0,0.0,1,1,0.0,0.0,3.0,1.0,0.0,0.0,0.0,7.0,0,1,0,1,0
6,1,0.0,0.0,1,1,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,1
1,4,109.0,8.0,2,0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
4,4,246.0,6.0,3,2,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
4,4,36.0,1.0,6,5,1.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
2,4,215.0,1.0,1,4,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0
1,4,28.0,6.0,3,0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
1,4,112.0,4.0,2,0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0,0,0,0,0,0
5,1,1.0,5.0,7,3,0.0,0.0,6.0,1.0,1.0,1.0,1.0,0.0,0,0,1,1,1
3,1,93.0,11.0,9,6,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
3,4,103.0,0.0,6,1,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0
5,1,3268.0,684.0,6,4,0.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0
6,2,1904.0,157.0,10,2,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
5,1,1648.0,39.0,6,2,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1
5,1,435.0,14.0,8,2,0.0,3.0,4.0,0.0,0.0,0.0,0.0,3.0,0,0,0,0,0
3,4,70.0,3.0,1,0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
5,1,21.0,4.0,10,7,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
3,1,301.0,57.0,6,0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
4,4,323.0,7.0,3,5,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
1,4,11.0,2.0,1,1,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0
5,1,372.0,118.0,9,7,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,0
5,1,98.0,2.0,8,2,0.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0
5,1,181.0,6.0,10,3,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0
4,1,583.0,17.0,10,5,0.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0
6,1,0.0,0.0,1,1,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,0
5,1,18.0,2.0,8,2,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
5,1,236.0,3.0,10,6,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0
5,1,10.0,3.0,8,2,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
4,2,30.0,1.0,10,5,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0
4,4,111.0,1.0,10,5,0.0,11.0,3.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0
4,1,1760.0,3.0,8,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
3,1,0.0,0.0,4,0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0
3,1,3.0,0.0,4,0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
4,2,587.0,9.0,10,1,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
4,2,118.0,6.0,10,5,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
5,1,333.0,13.0,10,2,0.0,14.0,4.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,0
5,1,0.0,0.0,10,2,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
4,4,1240.0,7.0,3,2,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
3,1,0.0,0.0,10,0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0
6,1,0.0,0.0,10,1,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0
4,4,1031.0,2.0,8,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0
4,2,2.0,1.0,1,4,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
1,4,1973.0,77.0,2,0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
6,1,1.0,0.0,10,1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0,0,0,0,0
3,1,0.0,0.0,3,0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
5,1,1566.0,2.0,10,6,3.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,1,1,1,0,0
1,4,0.0,0.0,1,1,0.0,0.0,7.0,0.0,2.0,1.0,1.0,0.0,0,0,1,1,0
4,4,447.0,20.0,8,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
4,2,783.0,12.0,10,5,0.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,0,1,1,0,0
6,2,0.0,0.0,10,1,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
5,1,140.0,16.0,10,4,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1,0,0,0,0
3,1,41.0,14.0,6,1,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
1,4,0.0,0.0,6,1,0.0,1.0,3.0,0.0,0.0,0.0,0.0,6.0,0,0,0,0,0
6,2,268.0,2.0,1,1,0.0,0.0,3.0,0.0,1.0,1.0,1.0,4.0,0,0,0,0,0
1,4,128.0,3.0,2,0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
4,1,1267.0,5.0,3,2,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0
4,1,925.0,56.0,10,2,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
6,3,0.0,0.0,1,1,0.0,0.0,4.0,1.0,1.0,1.0,1.0,5.0,0,0,0,0,0
5,1,121.0,18.0,10,6,0.0,5.0,3.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,0
5,1,195.0,9.0,8,2,0.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
3,1,324.0,4.0,6,1,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0
5,1,212.0,1.0,8,2,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0
5,1,804.0,84.0,6,2,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0
2,4,76.0,2.0,2,0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,2.0,0,0,0,0,0
6,2,463.0,3.0,1,5,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0,1,0,1,0
2,3,407.0,3.0,2,0,0.0,3.0,6.0,1.0,0.0,0.0,0.0,1.0,0,0,1,1,1
2,3,1285.0,14.0,2,0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
6,1,300.0,48.0,10,0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0,1,0,0,0
3,1,313.0,36.0,5,6,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
3,4,92.0,10.0,6,0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0
1,4,9.0,3.0,2,0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0
5,1,11.0,0.0,8,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
3,1,237.0,22.0,6,6,3.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0,0,1,1,1
4,2,26.0,5.0,10,5,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
3,1,0.0,0.0,6,0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
4,1,0.0,0.0,6,0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,0,1,0,0,0
5,1,2150.0,9.0,8,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1
4,4,196.0,6.0,3,2,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
4,2,0.0,0.0,1,1,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
4,4,72.0,3.0,1,5,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
5,1,1.0,3.0,7,3,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,1,0,0,0,0
6,2,30.0,0.0,1,1,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0,1,0,0,0
4,1,637.0,5.0,10,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
4,2,1221.0,29.0,6,1,0.0,3.0,5.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0
5,1,99.0,39.0,10,7,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0
5,1,288.0,2.0,8,2,0.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0
3,4,505.0,38.0,2,0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
5,1,66.0,15.0,10,3,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0
4,3,0.0,0.0,1,1,0.0,0.0,7.0,0.0,1.0,1.0,1.0,0.0,0,0,1,0,0
1,4,0.0,0.0,1,1,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0,1,0,0,0
1,4,0.0,0.0,1,1,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0
1,4,0.0,0.0,1,1,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,1
4,1,2506.0,20.0,8,2,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0
2,4,63.0,0.0,6,1,0.0,5.0,4.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
4,2,17.0,1.0,10,1,0.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0
3,1,450.0,8.0,6,1,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0
3,1,41.0,6.0,4,1,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0
5,1,185.0,10.0,8,2,0.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0
5,1,36.0,18.0,7,3,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0
4,2,945.0,18.0,10,5,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0
5,1,514.0,49.0,10,3,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
4,1,57.0,2.0,3,7,0.0,5.0,4.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0
6,2,1.0,0.0,10,1,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0,0,0,0,0
2,4,5.0,1.0,1,1,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0
4,1,164.0,7.0,8,2,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1,0,0,0,0
5,1,781.0,45.0,9,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0
1,4,0.0,0.0,1,1,0.0,0.0,6.0,0.0,1.0,1.0,1.0,0.0,0,0,1,1,0
6,2,0.0,0.0,1,1,0.0,0.0,5.0,0.0,1.0,1.0,1.0,9.0,0,0,0,0,0
5,1,84.0,1.0,8,2,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
4,1,236.0,13.0,10,5,0.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1,0
3,4,245.0,56.0,1,1,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0
2,3,178.0,3.0,2,0,0.0,9.0,3.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0
1,4,0.0,0.0,1,1,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,1
1,4,9363.0,231.0,1,1,0.0,13.0,3.0,0.0,0.0,0.0,1.0,50.0,0,0,0,0,0
5,1,22402.0,274.0,5,6,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0
6,2,15.0,0.0,6,1,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0
3,1,0.0,0.0,6,0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0
2,4,912.0,15.0,2,0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,7.0,0,0,1,1,0
5,1,333.0,60.0,10,6,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
6,3,3.0,0.0,1,1,0.0,0.0,3.0,0.0,0.0,0.0,1.0,5.0,0,0,0,0,0
3,1,256.0,22.0,6,6,0.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
4,2,905.0,28.0,10,5,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0,0,1,1,0
4,2,753.0,6.0,10,5,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
4,2,391.0,8.0,10,5,0.0,7.0,5.0,0.0,0.0,0.0,0.0,1.0,0,1,1,1,0
